seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,eval,MAPPO,5,0.5953,0.0645,0.9316,0.0340,787.9325,58.7562,0.6400,0.0647,1.0008,0.0010,260.4259,26.3586,542.9293,58.3481,1210.6539,90.3027,0.9143,0.0870,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,FaithfulMAPPER,5,0.3662,0.0439,0.7282,0.0585,947.7728,129.6777,0.6529,0.0424,1.0001,0.0000,347.0322,39.0039,631.0390,78.8273,1438.2904,182.8367,0.8287,0.0459,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TamAlwaysAccept,5,0.3175,0.0403,0.5548,0.0501,846.9026,36.8130,0.6630,0.0293,1.0001,0.0002,354.9500,25.0778,539.8110,22.6987,1543.9742,117.6301,0.8698,0.0168,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,CongestionAware,5,0.4210,0.0486,1.0000,0.0000,834.3013,125.0646,0.6970,0.0193,1.0003,0.0003,246.2597,11.3560,607.2958,113.5786,1125.8480,105.4538,0.9032,0.0663,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TrafficFlow,5,0.4194,0.0223,1.0000,0.0000,850.8245,113.2084,0.6877,0.0044,1.0004,0.0002,238.9918,30.1928,627.6324,103.5198,1110.4663,127.6436,0.9240,0.0913,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TokenPassing,5,0.4588,0.0427,1.0000,0.0000,782.3854,110.0962,0.6653,0.0197,1.0003,0.0001,235.3495,38.5639,558.8191,95.3181,1023.0067,94.4282,0.8816,0.0849,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,MAPPO,5,0.6325,0.0282,0.9599,0.0374,805.5991,91.3420,0.6258,0.0680,1.0004,0.0002,275.4557,19.7645,543.6288,69.6432,1166.9790,59.2304,0.8512,0.0692,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,FaithfulMAPPER,5,0.4485,0.0382,0.8017,0.0498,832.5167,87.4835,0.6618,0.0293,1.0003,0.0002,301.3048,18.0755,539.8640,101.9008,1327.9387,77.7531,0.8823,0.0367,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,TamAlwaysAccept,5,0.3781,0.0314,0.6386,0.0490,824.0712,56.2355,0.6621,0.0329,1.0002,0.0002,306.9534,13.0641,529.3514,55.9240,1402.0004,98.0807,0.9125,0.0254,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,CongestionAware,5,0.4960,0.0240,1.0000,0.0000,825.6984,65.1103,0.6896,0.0118,1.0006,0.0003,229.7863,13.5950,560.8000,68.7534,1051.2806,106.1877,0.9103,0.0620,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,TrafficFlow,5,0.4921,0.0496,1.0000,0.0000,756.2717,61.2635,0.6995,0.0129,1.0003,0.0001,218.5884,27.0214,548.2377,85.2094,1029.0299,48.7915,0.9413,0.0709,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,TokenPassing,5,0.5181,0.0364,1.0000,0.0000,789.1060,35.6080,0.6886,0.0154,1.0004,0.0002,217.1136,25.2274,628.1561,83.3263,1003.3442,68.5905,0.9021,0.0899,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,MAPPO,5,0.5335,0.0492,0.9189,0.0393,842.6997,49.9429,0.6393,0.0354,1.0002,0.0002,285.8457,25.5137,578.8870,46.1973,1229.8899,122.9575,0.8616,0.0588,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,FaithfulMAPPER,5,0.4012,0.0231,0.7566,0.0412,926.7214,79.4101,0.7018,0.0189,1.0002,0.0001,328.2180,30.5488,612.0238,64.5563,1391.1807,100.8168,0.8525,0.0723,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,TamAlwaysAccept,5,0.3245,0.0257,0.6113,0.0477,961.4573,74.9425,0.6881,0.0093,1.0001,0.0001,359.6609,28.5328,589.0912,46.9703,1575.9464,168.0879,0.8766,0.0646,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,CongestionAware,5,0.4663,0.0226,1.0000,0.0000,787.3218,83.3860,0.6795,0.0169,1.0005,0.0004,235.7848,29.9805,538.1061,28.9804,1104.2578,129.4685,0.9166,0.0827,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,TrafficFlow,5,0.4263,0.0230,1.0000,0.0000,799.4373,80.3734,0.6599,0.0183,1.0005,0.0001,223.1063,32.8692,535.3666,87.5177,1051.6770,185.5509,0.9022,0.1218,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,TokenPassing,5,0.4497,0.0362,1.0000,0.0000,755.9792,110.8289,0.6782,0.0328,1.0003,0.0001,222.5965,20.9038,556.0934,79.4258,1041.2385,68.8386,0.9342,0.0742,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,MAPPO,5,0.2719,0.0076,0.4683,0.0625,891.6658,88.9417,0.3844,0.0274,1.0001,0.0001,383.2358,46.3688,564.7596,31.4188,1609.7854,179.9163,0.8413,0.0167,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,FaithfulMAPPER,5,0.2670,0.0349,0.3786,0.0473,897.2184,81.9057,0.4007,0.0277,1.0001,0.0002,390.2203,41.9964,533.5291,48.7353,1624.8256,223.0924,0.8323,0.0647,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,TamAlwaysAccept,5,0.2749,0.0158,0.3524,0.0252,835.0906,77.3096,0.3775,0.0182,1.0000,0.0000,384.1051,55.0817,477.3481,34.0522,1585.3859,251.1539,0.8285,0.0817,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,CongestionAware,5,0.2630,0.0462,1.0000,0.0000,870.0386,133.7801,0.4223,0.0089,1.0003,0.0002,250.9726,18.8031,581.6237,61.8490,1030.0730,97.1025,0.8253,0.0937,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,TrafficFlow,5,0.2381,0.0088,1.0000,0.0000,897.2936,116.3033,0.4168,0.0190,1.0002,0.0001,235.1383,32.0840,678.1163,110.1223,1027.3129,38.1342,0.8815,0.0889,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,TokenPassing,5,0.2774,0.0140,1.0000,0.0000,848.4219,173.9737,0.4340,0.0056,1.0003,0.0002,249.4241,103.1079,651.0710,91.2860,924.6084,91.4971,0.8068,0.2172,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,MAPPO,5,0.3474,0.0435,0.5667,0.0495,813.8097,74.9081,0.3869,0.0184,1.0005,0.0006,330.2933,34.6584,495.4062,56.7438,1397.2971,116.3562,0.8495,0.0529,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,FaithfulMAPPER,5,0.3277,0.0150,0.4799,0.0238,772.7853,60.2673,0.3941,0.0184,1.0003,0.0003,329.4999,22.9135,488.7933,65.8925,1378.9017,94.7961,0.8371,0.0150,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,TamAlwaysAccept,5,0.3477,0.0329,0.4416,0.0323,720.0005,28.9516,0.3873,0.0158,1.0002,0.0003,311.4118,7.6580,424.1455,27.2973,1332.4467,74.9900,0.8564,0.0558,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,CongestionAware,5,0.3455,0.0229,1.0000,0.0000,792.2921,33.0431,0.4293,0.0119,1.0007,0.0007,201.2633,19.3756,578.3324,59.4430,1005.6312,70.2260,0.9721,0.0356,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,TrafficFlow,5,0.3079,0.0582,1.0000,0.0000,905.9748,72.7628,0.4175,0.0235,1.0006,0.0005,219.1920,25.6426,723.7581,107.3133,1063.1753,131.4467,0.9218,0.0807,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,TokenPassing,5,0.3082,0.0288,1.0000,0.0000,858.1993,129.2943,0.4229,0.0198,1.0004,0.0002,231.4633,24.0351,645.0530,109.2566,1070.2996,104.7079,0.9267,0.0649,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,MAPPO,5,0.3020,0.0252,0.5240,0.0339,921.4276,154.9762,0.4163,0.0122,1.0001,0.0001,361.7122,35.6064,559.8020,122.2226,1513.0133,199.0611,0.8374,0.0814,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,FaithfulMAPPER,5,0.2790,0.0223,0.4334,0.0376,853.6490,88.8072,0.4089,0.0055,1.0002,0.0001,360.3668,28.0416,510.8198,58.5472,1507.3816,161.7733,0.8355,0.0436,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,TamAlwaysAccept,5,0.2836,0.0213,0.3716,0.0244,785.5589,76.4851,0.3900,0.0103,1.0001,0.0001,361.2126,39.4729,429.9749,34.6230,1448.4309,150.1518,0.8025,0.0096,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,CongestionAware,5,0.3064,0.0312,1.0000,0.0000,846.9094,130.3575,0.4362,0.0091,1.0007,0.0008,194.9276,24.2349,641.2232,99.0767,1012.6646,165.6608,0.9734,0.0333,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,TrafficFlow,5,0.2984,0.0217,1.0000,0.0000,843.9634,167.9230,0.4355,0.0110,1.0002,0.0001,226.8085,50.6383,571.3578,85.6197,984.1656,116.9815,0.8375,0.1040,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,TokenPassing,5,0.2936,0.0263,1.0000,0.0000,767.0671,136.2919,0.4340,0.0093,1.0002,0.0001,227.2439,39.3483,561.9348,115.1685,1050.7157,83.1727,0.9101,0.0986,0.0000,0.0000,0.0000
42,Tokyo_Large,generalize,MAPPO,5,0.2416,0.1091,0.7011,0.1087,1830.6342,327.5444,0.4412,0.1445,1.0000,0.0000,767.7287,168.8115,1157.9275,166.8306,3638.0176,688.4825,0.9041,0.0829,0.0000,0.0000,0.0000
